producto,laboratorio,existencia,val_vendido
MOUNJARO 2.5MG/0.5ML * 1 AMP,ELI LILLY INTERAMERICA INC,4,2287760.0
ELECTROLIT MARACUYA * 625 ML,PISA (SUEROS LIQUIDOS),71,1615680.0
ENTEROGERMINA * 10 AMP,OPELLA (SANOFI OTC),6,991050.0
NESTOGENO TOTAL COMFORT *400 GR,NESTLE NUTRICION,3,868000.0
PEDIALYTE MAX ZINC 60 FRESA * 500 ML,ABBOTT NUTRICION,37,864050.0
POSTDAY * 2 TAB ,ABBOTT FARMA CONVENIO,1,798000.0
KLIM 1+ BOLSA * 1000 GR,NESTLE NUTRICION,4,702600.0
EREX BEBIDA * 500 ML,LAB PHARMACIENCIA SAS,10,683500.0
GRIPAC * 10 CAP,TRIDEX FARMACEUTICA,0,651100.0
MOUNJARO 5MG/0.5ML * 1 AMP,ELI LILLY INTERAMERICA INC,0,642020.0
