laboratorio,cod_Barra,producto,exist_Caja,sist_Unid,valor_unid,valor_total
3M COLOMBIA,7702098400238,BOLSA FRIO/CALOR NEXCARE ADULTOS *,0,0,"41,300",0
3M COLOMBIA,7702098401709,BOLSA FRIO/CALOR NEXCARE NINOS,0,0,"24,500",0
3M COLOMBIA,7702098034891,CURAS AVANZADA IMPERMEABLES CJA *,50,0,"10,000",0
3M COLOMBIA,7702098015319,CURITAS CONFORT X 8 UNDS,0,0,0,0
3M COLOMBIA,7702098009790,CURITAS NEXCARE CONFORT X 100,0,0,0,0
3M COLOMBIA,7707290950062,FREXEN X 30 CAPS,0,0,"63,700",0
3M COLOMBIA,7707314190047,GASA MEDICAR 1/2 * 5 YARDAS UNDAD,30,0,"4,000",0
3M COLOMBIA,8993379254650,HARMONY JABON MANZANA* 80 G UNDAD,30,0,"1,500",0
3M COLOMBIA,8993379254568,HARMONY JABON NARANJA * 80 G UNDAD,0,0,"1,500",0
3M COLOMBIA,7707180630098,I-COLOR CAOBA UNIDAD,0,0,"4,800",0
3M COLOMBIA,7072139401198,",7INHALOCAMARA PEDIATRICA UNDAD",0,0,"12,800",0
3M COLOMBIA,382903882328,JELCO  ANGIOCATH NO,220,0,"2,000",0
3M COLOMBIA,7702098031340,MICROPORE PIEL 0.5MM X 10YD CJA *,20,0,"72,000",0
3M COLOMBIA,7702098401778,MICROPORE PIEL 12MM * 3,0,0,"3,600",0
3M COLOMBIA,7702098010550,TAPA BOCAS X 12 UI NEXCARE,0,0,"14,000",0
3M COLOMBIA,7702098400085,TEGADERM APOSITO TRANSPARENTE 6 X,70,0,"15,000",0
3M COLOMBIA,7702098401747,VENDA ELASTICA COBAN 4.5 X3M,0,0,"26,600",0
A. MENARINI ,7708548830518,KETUM GEL * 30 GR,0,0,"41,200",0
A. MENARINI ,7707188880518,RILATEN 20 MG * 1 AMP,0,0,"18,700",0
A.G. MEDICAM,7706569022905,ACETAMINOFEN CODEINA 325/30MG * 10,0,0,"16,500",0
A.G. MEDICAM,7706569283931,ACIDO ACETILSALICILICO 100 MG *,1000,0,"35,000",0
A.G. MEDICAM,7706569154606,ESOMEPRAZOL 40 MG * 30 TAB,0,0,"87,000",0
A.G. MEDICAM,7706569021670,GUAYACOLATO + CARBOXIMETILCISTEINA,0,0,"20,000",0
A.G. MEDICAM,7706569023131,LOSARTAN 50 MG + HIDROCLOROTIAZIDA,0,0,"43,500",0
A.G. MEDICAM,7706569485403,LOSARTAN 50 MG + HIDROCLOROTIAZIDA,0,0,"66,700",0
A.G. MEDICAM,7706569022929,SULFATO DE ZINC 2MG/ML CEREZA *,1200,0,"17,500",0
A.G. MEDICAM,7706569022936,SULFATO DE ZINC 2MG/ML CEREZA * 80,0,0,"13,000",0
