codigo,producto,laboratorio,existencia,precio_venta,costo_promedio,unid._vendidas,ranking_1,val_vendido,ranking_2,rentabilidad,ranking_3,suma_ranking,ranking_final,grupo
7709008052563.0,AGUA FARMANORTE * 600 ML,SALUS,81.0,"2,600",0.0,255.0,1.0,"650,900",9.0,"411,060",4.0,5.0,1.0,A
7501125184864.0,ELECTROLIT MARACUYA * 625 ML,PISA (SUEROS LIQUIDOS),68.0,"8,800",0.0,205.0,2.0,"1,751,200",3.0,"328,000",8.0,5.0,2.0,A
7702870002728.0,POSTDAY * 2 TAB ,ABBOTT FARMA CONVENIO,26.0,"19,000",0.0,47.0,18.0,"893,000",7.0,"361,242",7.0,10.0,3.0,A
7703991918295.0,MOUNJARO 2.5MG/0.5ML * 1 AMP,ELI LILLY INTERAMERICA INC,1.0,"256,900",0.0,16.0,68.0,"3,644,192",1.0,"983,360",1.0,18.0,4.0,A
4022679136473.0,VITAMINA C+B2+ZINC *20 TAB,PHARMARIS COLOMBIA,0.0,"26,000",0.0,22.0,39.0,"572,000",12.0,"292,886",14.0,20.0,5.0,A
7501033961557.0,PEDIALYTE MAX ZINC 60 FRESA * 500 ML,ABBOTT NUTRICION,18.0,"11,000",0.0,91.0,5.0,"975,700",5.0,"146,510",45.0,21.0,6.0,A
7708902758717.0,VYASIL 50 MG * 2 TAB,NATURALMENTE,7.0,"19,900",0.0,21.0,43.0,"417,900",25.0,"379,512",5.0,22.0,7.0,A
7707263002217.0,GRIPAC 4 * 10 CAP ,TRIDEX FARMACEUTICA,22.0,"21,900",0.0,21.0,47.0,"449,100",16.0,"309,550",11.0,22.0,8.0,A
7707263005126.0,OKAP FORTE 250/20MG * 10 CAP,TRIDEX FARMACEUTICA,9.0,"21,700",0.0,21.0,48.0,"447,100",17.0,"293,150",13.0,23.0,9.0,A
7708152336611.0,SUREZINC TRANSFER VAINILLA * 400 GR,SUREZINC,7.0,"56,500",0.0,15.0,82.0,"837,500",8.0,"567,195",3.0,25.0,10.0,A
7707263003443.0,GRIPAC * 10 CAP,TRIDEX FARMACEUTICA,0.0,"22,600",0.0,19.0,54.0,"422,300",22.0,"267,658",20.0,29.0,11.0,A
7709208753895.0,PRUEBA DE EMBARAZO DB LIFE LAPICERO * 1 UND,DIAGNOSTICOS BIOMEDICOS,15.0,"15,500",0.0,26.0,31.0,"320,200",52.0,"323,232",9.0,30.0,12.0,A
7706569001450.0,NAPROXENO 500 MG * 10 TAB,A.G. MEDICAMENTOS,14.0,"15,000",0.0,24.0,34.0,"360,000",39.0,"240,096",28.0,33.0,13.0,A
7708152336598.0,EREX BEBIDA * 500 ML,LAB PHARMACIENCIA SAS,10.0,"45,900",0.0,13.0,107.0,"593,700",10.0,"362,700",6.0,33.0,14.0,A
7706569001245.0,AZITROMICINA 500 MG * 3 TAB,A.G. MEDICAMENTOS,29.0,"18,500",0.0,20.0,49.0,"368,200",37.0,"262,480",23.0,34.0,15.0,A
7709416822604.0,ATROMIZIN 500 MG * 3 TAB,QUIRUPOS,4.0,"24,900",0.0,15.0,79.0,"373,500",35.0,"316,860",10.0,36.0,16.0,A
7702402058704.0,VASO ALOHA RASPADO KOLA * 160 GR ,MEALS DE COLOMBIA,8.0,"4,900",0.0,70.0,6.0,"343,000",43.0,"133,630",57.0,39.0,17.0,A
7706569020437.0,MELOXICAM 15 MG * 10 TAB,A.G. MEDICAMENTOS,7.0,"16,200",0.0,21.0,46.0,"340,200",44.0,"221,382",31.0,39.0,18.0,A
7702535024423.0,COCA COLA * 1.5 LT,COCA COLA,0.0,"7,800",0.0,42.0,20.0,"327,600",49.0,"149,478",44.0,40.0,19.0,A
