codigo,producto,laboratorio,existencias,precio_venta,unidades_vendidas,Ranking₁,valor_vendido,Ranking₂,rentabilidad,Ranking₃,suma ranking,ranking_final,grupo
7709008052563,AGUA FARMANORTE * 600 ML,SALUS,79,"2,600",253,1,"646,100",9,"407,836",4,5,1,A
7501125184864,ELECTROLIT MARACUYA * 625 ML,PISA (SUEROS LIQUIDOS),67,"8,800",203,2,"1,733,600",3,"324,800",8,5,2,A
7702870002728,POSTDAY * 2 TAB ,ABBOTT FARMA CONVENIO,25,"19,000",47,18,"893,000",7,"361,242",6,9,3,A
4022679136473,VITAMINA C+B2+ZINC *20 TAB,PHARMARIS COLOMBIA,0,"26,000",22,38,"572,000",11,"292,886",12,18,4,A
7703991918295,MOUNJARO 2.5MG/0.5ML * 1 AMP,ELI LILLY INTERAMERICA INC,1,"256,900",16,73,"3,644,192",1,"983,360",1,19,5,A
7501033961557,PEDIALYTE MAX ZINC 60 FRESA * 500 ML,ABBOTT NUTRICION,17,"11,000",89,5,"953,700",5,"143,290",43,20,6,A
7708902758717,VYASIL 50 MG * 2 TAB,NATURALMENTE,7,"19,900",21,42,"417,900",23,"379,512",5,21,7,A
7707263002217,GRIPAC 4 * 10 CAP ,TRIDEX FARMACEUTICA,22,"21,900",20,48,"427,200",20,"294,450",11,23,8,A
7708152336611,SUREZINC TRANSFER VAINILLA * 400 GR,SUREZINC,7,"56,500",15,79,"837,500",8,"573,645",3,24,9,A
7709208753895,PRUEBA DE EMBARAZO DB LIFE LAPICERO * 1 UND,DIAGNOSTICOS BIOMEDICOS,14,"15,500",27,27,"335,700",47,"335,664",7,26,10,A
7707263005126,OKAP FORTE 250/20MG * 10 CAP,TRIDEX FARMACEUTICA,9,"21,700",19,50,"414,400",25,"271,700",19,29,11,A
7706569001450,NAPROXENO 500 MG * 10 TAB,A.G. MEDICAMENTOS,13,"15,000",25,33,"375,000",37,"250,100",26,32,12,A
7706569001245,AZITROMICINA 500 MG * 3 TAB,A.G. MEDICAMENTOS,29,"18,500",20,46,"368,200",40,"262,480",22,34,13,A
7707263003443,GRIPAC * 10 CAP,TRIDEX FARMACEUTICA,0,"22,600",18,58,"399,300",29,"253,190",25,35,14,A
D1554,MEGA VIT ADVANCE * 2 TAB,NATURALS IMPORTADOS,3,"12,000",25,34,"300,000",59,"276,000",18,36,15,A
7709416822604,ATROMIZIN 500 MG * 3 TAB,QUIRUPOS,4,"24,900",15,82,"373,500",39,"316,860",9,38,16,A
7706569020437,MELOXICAM 15 MG * 10 TAB,A.G. MEDICAMENTOS,7,"16,200",21,43,"340,200",45,"221,382",32,39,17,A
3582910009900,ENTEROGERMINA * 10 AMP,OPELLA (SANOFI OTC),5,"83,900",11,128,"917,260",6,"287,120",13,39,18,A
7702535024423,COCA COLA * 1.5 LT,COCA COLA,0,"7,800",40,20,"312,000",56,"142,360",45,43,19,A
7708152336598,EREX BEBIDA * 500 ML,LAB PHARMACIENCIA SAS,10,"45,900",11,136,"503,900",14,"306,900",10,43,20,A
7702402058704,VASO ALOHA RASPADO KOLA * 160 GR ,MEALS DE COLOMBIA,8,"4,900",67,7,"328,300",52,"127,903",61,44,21,A
7707263007755,CLINDABACT 100/100MG * 3 OVULOS,TRIDEX FARMACEUTICA,6,"38,400",11,131,"415,200",24,"286,968",14,47,22,A
7707263004068,GLICERTOX NF JBE * 125 ML,TRIDEX FARMACEUTICA,9,"38,100",11,135,"419,100",22,"276,881",17,48,23,A
7702535001769,COCA COLA * 2.5 LT,COCA COLA,9,"10,100",29,26,"292,900",64,"138,881",53,50,24,A
7501082243642,MOUNJARO 5MG/0.5ML * 1 AMP,ELI LILLY INTERAMERICA INC,-1,"341,500",8,197,"2,445,140",2,"648,336",2,51,25,A
7501058648280,NESTOGENO TOTAL COMFORT *400 GR,NESTLE NUTRICION,2,"54,500",18,53,"979,000",4,"82,602",107,57,26,A
7703689000448,CYCLOFEM 0.5 ML * 1 AMP + JERINGA  ,PROFAMILIA,0,"21,900",13,109,"284,300",67,"284,700",15,57,27,A
7707274722715,PROCATEC 500 MG * 10 TAB,FAES OTC,1,"18,000",15,74,"270,000",75,"206,460",33,58,28,A
736085132069,NAZIL OFTENO * 15 ML,SOPHIA DE COLOMBIA OTC,-1,"22,200",14,93,"310,800",57,"167,888",38,58,29,A
7702402059848,CHOCOCONO CHOCOKRISPIS * 95 GR,MEALS DE COLOMBIA,15,"4,600",60,10,"276,000",72,"101,700",78,59,30,A
7702192422051,GATORADE TROPICAL FRUIT * 500 ML,POSTOBON GASEOSAS,17,"4,700",59,11,"275,000",73,"103,427",76,59,31,A
7501125132056,CLORURO DE SODIO 0.9 % * 500 ML,PISA FARMACEUTICA DE COLOMBIA S.A. ,12,"5,000",49,17,"245,000",86,"127,400",62,59,32,A
70847030805,MONSTER ENERGY ULTRA LATA * 473 ML,COCA COLA,0,"9,400",29,25,"272,600",74,"118,958",70,60,33,A
7707263004631,GALEZOL 500 MG * 6 TAB,TRIDEX FARMACEUTICA,8,"38,800",10,157,"388,000",35,"254,590",24,61,34,A
7703712085046,BINAFAR 200/500MG * 24 TAB,TRIDEX FARMACEUTICA,7,"46,600",9,184,"429,200",19,"256,788",23,62,35,A
7706569000958,DICLOFENACO R 100 MG * 20 CAP,A.G. MEDICAMENTOS,7,"15,800",16,66,"255,600",78,"139,536",50,64,36,A
7702184010150,LOPERAMIDA 2 MG * 6 TAB,ECAR,10,"7,600",26,31,"197,600",117,"146,354",41,65,37,A
7702402054416,CHOCOCONO * 90 GR,MEALS DE COLOMBIA,34,"3,700",67,6,"247,900",82,"92,192",90,66,38,A
"7702535011089,7",COCA COLA * 400 ML,COCA COLA,5,"4,000",55,14,"220,000",101,"103,235",77,70,39,A
7703546031103,CONGESTEX * 10 CAP,NOVAMED OTC,56,"17,500",14,90,"247,700",83,"141,750",46,70,40,A
7708152336741,SUREZINC TRANSFER KIDS VAINILLA * 400 GR ,SUREZINC,1,"56,500",7,210,"395,500",30,"271,432",20,71,41,A
7707263003542,CEFLAXILIN 500 MG * 20 CAP,TRIDEX FARMACEUTICA,3,"61,700",7,234,"402,700",26,"279,234",16,74,42,A
7702057092757,IBUFLASH MIGRAN * 30 CAP,TECNOQUIMICAS,4,"64,500",9,186,"575,800",10,"120,712",66,76,43,A
7703546033107,CRONOFEN L JBE * 100 ML  L-RESPI-RIN,NOVAMED BABY ,0,"18,500",13,100,"240,500",89,"139,100",52,77,44,A
7707232093383,OMEGA 3 PLUS * 50 CAP (OFERTA 2X1),NATURAL FRESHLY,3,"77,000",6,237,"462,000",16,"240,828",30,77,45,A
7707172685778,DOLEX JARABE 2+ * 90 ML ,HALEON (GLAXO OTC),9,"18,200",22,39,"400,400",27,"63,228",149,79,46,A
7702184021002,HEDERA HELIX + PROPOLEO JBE * 100 ML,ECAR,8,"25,100",10,151,"251,000",81,"201,180",34,80,47,A
7501033957376,PEDIALYTE MAX ZINC 60 UVA * 500 ML,ABBOTT NUTRICION,16,"11,000",36,22,"394,350",33,"57,960",165,83,48,A
7613034027610,NESTUM TRIGO MIEL * 350 GR,NESTLE NUTRICION,7,"22,700",13,96,"295,100",63,"90,831",94,84,49,A
7707228361489,GASA ESTERIL NO TEJIDA 7.5 CM * 7.5 CM * 6 UND ,ALFA SAFE,53,"1,500",114,4,"166,800",160,"119,586",69,85,50,A
7707263009902,SIFEI 200 MG * 5 CAP,TRIDEX FARMACEUTICA,1,"47,300",7,229,"331,100",48,"242,375",29,86,51,A
7703546012539,TENSOFAR 50 MG * 30 TAB L-CONSUM,NOVAMED OTC,4,"19,300",11,141,"212,300",107,"178,948",36,87,52,A
7703153020286,DICLOFENACO + HIDROXIDO ALUMINIO * 10 CAP,COLMED,1,"22,600",12,127,"260,500",76,"115,276",75,88,53,A
7501059276604,NESTOGENO 0-12 MESES BOLSA * 135 GR,NESTLE NUTRICION,12,"10,500",38,21,"395,000",32,"52,250",186,91,54,A
7703689031169,PIEL SENSITIVO * 3 PRESERVATIVOS,PROFAMILIA,5,"10,500",17,61,"178,500",142,"120,037",68,92,55,A
7702184828908,VITAMINA C + ZINC NARANJA * 100 TAB,ECAR,2,"63,400",6,276,"392,000",34,"248,926",27,92,56,A
7703712080027,ADIFAR * 20 TAB,TRIDEX FARMACEUTICA,7,"45,500",7,233,"299,000",60,"193,362",35,93,57,A
7702535024447,COCA COLA * 3 LT,COCA COLA,3,"12,700",16,69,"203,200",115,"91,536",93,95,58,A
7702004110596,CERVEZA BUDWEISER LATA * 269 ML,BAVARIA S.A.,21,"3,700",51,15,"188,700",128,"76,959",120,97,59,A
7706569000026,AMOXICILINA 500 MG * 50 CAP,A.G. MEDICAMENTOS,3,"42,200",7,232,"297,000",62,"139,366",51,100,60,A
7703546041430,DOLORSIN FEM * 40 CAP L-TR-CAPS,NOVAMED OTC,2,"90,000",5,331,"450,800",18,"242,795",28,100,61,A
7702402059275,PALETA CHOCOLISTO * 50 GR,MEALS DE COLOMBIA,15,"2,800",62,9,"173,600",151,"70,308",133,108,62,A
7702024047612,KLIM 1+ BOLSA * 1000 GR,NESTLE NUTRICION,6,"54,700",10,164,"545,300",12,"60,020",159,109,63,A
7703546131308,PRAZED 20 MG * 30 CAP L-CONSUM,NOVAMED OTC,3,"18,500",10,167,"189,500",126,"132,592",57,109,64,A
7709997612786,NOVOXICAN 15 MG * 10 TAB,NOVOFAR,0,"18,500",9,169,"166,500",161,"144,900",42,115,65,A
