LABORATORIO,COD_BARRAS,DESCRIPCION_COMPLETA,PRECIO,%ESP,VALOR,R30D
A.G. MEDICAMENTOS,7706569020659,ACETAMINOFEN 500 MG * 100 TAB ACETAMINOFEN ANALGESICO,"27,000",12,"3,240",0
A.G. MEDICAMENTOS,7706569022905,ACETAMINOFEN CODEINA 325/30MG * 10 TAB ACETAMINOFEN + CODEINA ANALGESICO,"16,500",10,"1,650",0
A.G. MEDICAMENTOS,7706569022912,ACETAMINOFEN CODEINA 325/30MG * 30 TAB ACETAMINOFEN + CODEINA ANALGESICO,"42,700",10,"4,270",0
A.G. MEDICAMENTOS,7706569001627,ACETAMINOFEN JBE * 60 ML ACETAMINOFEN ANALGESICO,"6,000",10,600,0
A.G. MEDICAMENTOS,7706569001436,ACETAMINOFEN JBE * 90 ML ACETAMINOFEN ANALGESICO,"9,000",10,900,0
A.G. MEDICAMENTOS,7706569022707,ACICLOVIR 800 MG * 10 TAB ACICLOVIR ANTIVIRAL,"20,000",10,"2,000",0
A.G. MEDICAMENTOS,7706569002839,ACIDO FUSIDICO CREMA 2% * 15 GR ACIDO FUSIDICO ANTIBIOTICO,"15,900",10,"1,590",0
A.G. MEDICAMENTOS,7706569000019,ALBENDAZOL 200 MG * 2 TAB ALBENDAZOL ANTIPARASITARIO,"3,500",10,350,0
A.G. MEDICAMENTOS,7706569000576,ALBENDAZOL SUSP * 20 ML ALBENDAZOL ANTIPARASITARIO,"7,000",10,700,0
A.G. MEDICAMENTOS,7706569021250,AMITRIPTILINA 25 MG * 30 TAB AMITRIPTILINA ANTIDEPRESIVO,"14,400",5,720,0
A.G. MEDICAMENTOS,7706569001184,AMOXICILINA 250 MG * 100 ML AMOXICILINA ANTIBIOTICO,"10,700",10,"1,070",0
A.G. MEDICAMENTOS,7706569000026,AMOXICILINA 500 MG * 50 CAP AMOXICILINA ANTIBIOTICO,"42,200",10,"4,220",0
A.G. MEDICAMENTOS,7706569022646,ATORVASTATINA 40 MG * 10 TAB ATORVASTATINA HIPOLIPEMIANTE,"58,200",10,"5,820",0
A.G. MEDICAMENTOS,7706569001245,AZITROMICINA 500 MG * 3 TAB AZITROMICINA ANTIBIOTICO,"18,500",12,"2,220",0
A.G. MEDICAMENTOS,7706569001672,BETAMETASONA CREMA 0.1% * 20 GR BETAMETASONA CORTICOIDE,"17,800",10,"1,780",0
A.G. MEDICAMENTOS,7706569020321,BETAMETASONA CREMA 0.5% * 20 GR BETAMETASONA CORTICOIDE,"13,300",10,"1,330",0
A.G. MEDICAMENTOS,7706569001160,CEFALEXINA 250 MG * 60 ML CEFALEXINA ANTIBIOTICO,"12,700",10,"1,270",0
A.G. MEDICAMENTOS,7706569021168,CEFALEXINA 500 MG * 50 TAB CEFALEXINA ANTIBIOTICO,"60,900",10,"6,090",0
A.G. MEDICAMENTOS,7706569001177,CEFRADINA 500 MG * 24 CAP CEFRADINA ANTIBIOTICO,"56,000",10,"5,600",0
A.G. MEDICAMENTOS,7706569001467,CETIRIZINA 10 MG * 10 TAB CETIRIZINA ANTIALERGICO,"8,000",10,800,0
A.G. MEDICAMENTOS,7706569001474,CETIRIZINA 5 MG JBE * 60 ML CETIRIZINA ANTIALERGICO,"30,300",10,"3,030",0
A.G. MEDICAMENTOS,7706569000088,CIPROFLOXACINO 500 MG * 10 TAB CIPROFLOXACINO ANTIBIOTICO,"10,000",10,"1,000",0
A.G. MEDICAMENTOS,7706569000668,CLARITROMICINA 500 MG * 10 TAB CLARITROMICINA ANTIBIOTICO,"46,600",10,"4,660",0
A.G. MEDICAMENTOS,7706569021014,CLOBETASOL PROPIONATO 0.05% CREMA * 40 G CLOBETASOL CORTICOIDE,"28,900",10,"2,890",0
A.G. MEDICAMENTOS,7706569001269,CLOTRIMAZOL CREMA TOPICA * 40 GR CLOTRIMAZOL ANTIMICOTICO,"13,700",10,"1,370",0
